aya_index,text
2956,<b>الدخان 7</b>رب السماوات والأرض وما بينهما إن كنتم موقنين 
2964,<b>الأعراف 107</b>فألقى عصاه فإذا هي ثعبان مبين 
2965,<b>الأعراف 108</b>ونزع يده فإذا هي بيضاء للناظرين 
2967,<b>الأعراف 110</b>يريد أن يخرجكم من أرضكم فماذا تأمرون 
2968,<b>الأعراف 111</b>قالوا أرجه وأخاه وأرسل في المدائن حاشرين 
2974,<b>الأعراف 114</b>قال نعم وإنكم لمن المقربين 
2975,<b>يونس 80</b>فلما جاء السحرة قال لهم موسى ألقوا ما أنتم ملقون 
2979,<b>الأعراف 121</b>قالوا آمنا برب العالمين 
2980,<b>الأعراف 122</b>رب موسى وهارون 
2982,<b>الأعراف 125</b>قالوا إنا إلى ربنا منقلبون 
2998,<b>الصافات 82</b>ثم أغرقنا الآخرين 
2999,"<b>الشعراء 8</b>إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 103</b>إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 121</b>إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 139</b>فكذبوه فأهلكناهم إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 158</b>فأخذهم العذاب إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 174</b>إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 190</b>إن في ذلك لآية وما كان أكثرهم مؤمنين "
3000,"<b>الشعراء 9</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 104</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 122</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 140</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 159</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 175</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 191</b>وإن ربك لهو العزيز الرحيم "
3002,<b>الصافات 85</b>إذ قال لأبيه وقومه ماذا تعبدون 
3035,"<b>الشعراء 8</b>إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 67</b>إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 121</b>إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 139</b>فكذبوه فأهلكناهم إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 158</b>فأخذهم العذاب إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 174</b>إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 190</b>إن في ذلك لآية وما كان أكثرهم مؤمنين "
3036,"<b>الشعراء 9</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 68</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 122</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 140</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 159</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 175</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 191</b>وإن ربك لهو العزيز الرحيم "
3038,"<b>الشعراء 124</b>إذ قال لهم أخوهم هود ألا تتقون ,<b>الشعراء 142</b>إذ قال لهم أخوهم صالح ألا تتقون ,<b>الشعراء 161</b>إذ قال لهم أخوهم لوط ألا تتقون "
3039,"<b>الشعراء 125</b>إني لكم رسول أمين ,<b>الشعراء 143</b>إني لكم رسول أمين ,<b>الشعراء 162</b>إني لكم رسول أمين ,<b>الشعراء 178</b>إني لكم رسول أمين "
3040,"<b>الشعراء 110</b>فاتقوا الله وأطيعون ,<b>الشعراء 126</b>فاتقوا الله وأطيعون ,<b>الشعراء 131</b>فاتقوا الله وأطيعون ,<b>الشعراء 144</b>فاتقوا الله وأطيعون ,<b>الشعراء 150</b>فاتقوا الله وأطيعون ,<b>الشعراء 163</b>فاتقوا الله وأطيعون ,<b>الشعراء 179</b>فاتقوا الله وأطيعون "
3041,"<b>الشعراء 127</b>وما أسألكم عليه من أجر إن أجري إلا على رب العالمين ,<b>الشعراء 145</b>وما أسألكم عليه من أجر إن أجري إلا على رب العالمين ,<b>الشعراء 164</b>وما أسألكم عليه من أجر إن أجري إلا على رب العالمين ,<b>الشعراء 180</b>وما أسألكم عليه من أجر إن أجري إلا على رب العالمين "
3042,"<b>الشعراء 108</b>فاتقوا الله وأطيعون ,<b>الشعراء 126</b>فاتقوا الله وأطيعون ,<b>الشعراء 131</b>فاتقوا الله وأطيعون ,<b>الشعراء 144</b>فاتقوا الله وأطيعون ,<b>الشعراء 150</b>فاتقوا الله وأطيعون ,<b>الشعراء 163</b>فاتقوا الله وأطيعون ,<b>الشعراء 179</b>فاتقوا الله وأطيعون "
3053,"<b>الشعراء 8</b>إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 67</b>إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 103</b>إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 139</b>فكذبوه فأهلكناهم إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 158</b>فأخذهم العذاب إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 174</b>إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 190</b>إن في ذلك لآية وما كان أكثرهم مؤمنين "
3054,"<b>الشعراء 9</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 68</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 104</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 140</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 159</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 175</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 191</b>وإن ربك لهو العزيز الرحيم "
3056,"<b>الشعراء 106</b>إذ قال لهم أخوهم نوح ألا تتقون ,<b>الشعراء 142</b>إذ قال لهم أخوهم صالح ألا تتقون ,<b>الشعراء 161</b>إذ قال لهم أخوهم لوط ألا تتقون "
3057,"<b>الشعراء 107</b>إني لكم رسول أمين ,<b>الشعراء 143</b>إني لكم رسول أمين ,<b>الشعراء 162</b>إني لكم رسول أمين ,<b>الشعراء 178</b>إني لكم رسول أمين "
3058,"<b>الشعراء 108</b>فاتقوا الله وأطيعون ,<b>الشعراء 110</b>فاتقوا الله وأطيعون ,<b>الشعراء 131</b>فاتقوا الله وأطيعون ,<b>الشعراء 144</b>فاتقوا الله وأطيعون ,<b>الشعراء 150</b>فاتقوا الله وأطيعون ,<b>الشعراء 163</b>فاتقوا الله وأطيعون ,<b>الشعراء 179</b>فاتقوا الله وأطيعون "
3059,"<b>الشعراء 109</b>وما أسألكم عليه من أجر إن أجري إلا على رب العالمين ,<b>الشعراء 145</b>وما أسألكم عليه من أجر إن أجري إلا على رب العالمين ,<b>الشعراء 164</b>وما أسألكم عليه من أجر إن أجري إلا على رب العالمين ,<b>الشعراء 180</b>وما أسألكم عليه من أجر إن أجري إلا على رب العالمين "
3063,"<b>الشعراء 108</b>فاتقوا الله وأطيعون ,<b>الشعراء 110</b>فاتقوا الله وأطيعون ,<b>الشعراء 126</b>فاتقوا الله وأطيعون ,<b>الشعراء 144</b>فاتقوا الله وأطيعون ,<b>الشعراء 150</b>فاتقوا الله وأطيعون ,<b>الشعراء 163</b>فاتقوا الله وأطيعون ,<b>الشعراء 179</b>فاتقوا الله وأطيعون "
3071,"<b>الشعراء 8</b>إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 67</b>إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 103</b>إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 121</b>إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 174</b>إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 190</b>إن في ذلك لآية وما كان أكثرهم مؤمنين "
3072,"<b>الشعراء 9</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 68</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 104</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 122</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 159</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 175</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 191</b>وإن ربك لهو العزيز الرحيم "
3074,"<b>الشعراء 106</b>إذ قال لهم أخوهم نوح ألا تتقون ,<b>الشعراء 124</b>إذ قال لهم أخوهم هود ألا تتقون ,<b>الشعراء 161</b>إذ قال لهم أخوهم لوط ألا تتقون "
3075,"<b>الشعراء 107</b>إني لكم رسول أمين ,<b>الشعراء 125</b>إني لكم رسول أمين ,<b>الشعراء 162</b>إني لكم رسول أمين ,<b>الشعراء 178</b>إني لكم رسول أمين "
3076,"<b>الشعراء 108</b>فاتقوا الله وأطيعون ,<b>الشعراء 110</b>فاتقوا الله وأطيعون ,<b>الشعراء 126</b>فاتقوا الله وأطيعون ,<b>الشعراء 131</b>فاتقوا الله وأطيعون ,<b>الشعراء 150</b>فاتقوا الله وأطيعون ,<b>الشعراء 163</b>فاتقوا الله وأطيعون ,<b>الشعراء 179</b>فاتقوا الله وأطيعون "
3077,"<b>الشعراء 109</b>وما أسألكم عليه من أجر إن أجري إلا على رب العالمين ,<b>الشعراء 127</b>وما أسألكم عليه من أجر إن أجري إلا على رب العالمين ,<b>الشعراء 164</b>وما أسألكم عليه من أجر إن أجري إلا على رب العالمين ,<b>الشعراء 180</b>وما أسألكم عليه من أجر إن أجري إلا على رب العالمين "
3079,<b>الدخان 52</b>في جنات وعيون 
3082,"<b>الشعراء 108</b>فاتقوا الله وأطيعون ,<b>الشعراء 110</b>فاتقوا الله وأطيعون ,<b>الشعراء 126</b>فاتقوا الله وأطيعون ,<b>الشعراء 131</b>فاتقوا الله وأطيعون ,<b>الشعراء 144</b>فاتقوا الله وأطيعون ,<b>الشعراء 163</b>فاتقوا الله وأطيعون ,<b>الشعراء 179</b>فاتقوا الله وأطيعون "
3085,<b>الشعراء 185</b>قالوا إنما أنت من المسحرين 
3090,"<b>الشعراء 8</b>إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 67</b>إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 103</b>إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 121</b>إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 174</b>إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 190</b>إن في ذلك لآية وما كان أكثرهم مؤمنين "
