part_id,aya_index,part_no,part_text,part_text_full,hamza
14,14,1,ختم الله علىٰ قلوبهم وعلىٰ سمعهم,خَتَمَ اللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ,
15,14,2,وعلىٰ أبصارهم غشاوة,وَعَلَىٰ أَبْصَارِهِمْ غِشَاوَةٌ,
16,14,3,ولهم عذاب عظيم,وَلَهُمْ عَذَابٌ عَظِيمٌ,
17,15,1,ومن الناس من يقول آمنا بالله وباليوم الآخر وما هم بمؤمنين,وَمِنَ النَّاسِ مَن يَقُولُ آمَنَّا بِاللَّهِ وَبِالْيَوْمِ الْآخِرِ وَمَا هُم بِمُؤْمِنِينَ,1
18,16,1,يخادعون الله والذين آمنوا وما يخدعون إلا أنفسهم وما يشعرون,يُخَادِعُونَ اللَّهَ وَالَّذِينَ آمَنُوا وَمَا يَخْدَعُونَ إِلَّا أَنفُسَهُمْ وَمَا يَشْعُرُونَ,
19,17,1,في قلوبهم مرض فزادهم الله مرضا,فِي قُلُوبِهِم مَّرَضٌ فَزَادَهُمُ اللَّهُ مَرَضًا,
20,17,2,ولهم عذاب أليم بما كانوا يكذبون,وَلَهُمْ عَذَابٌ أَلِيمٌ بِمَا كَانُوا يَكْذِبُونَ,
21,18,1,وإذا قيل لهم لا تفسدوا في الأرض قالوا إنما نحن مصلحون,وَإِذَا قِيلَ لَهُمْ لَا تُفْسِدُوا فِي الْأَرْضِ قَالُوا إِنَّمَا نَحْنُ مُصْلِحُونَ,
22,19,1,ألا إنهم هم المفسدون ولٰكن لا يشعرون,أَلَا إِنَّهُمْ هُمُ الْمُفْسِدُونَ وَلَٰكِن لَّا يَشْعُرُونَ,
23,20,1,وإذا قيل لهم آمنوا كما آمن الناس قالوا أنؤمن كما آمن السفهاء,وَإِذَا قِيلَ لَهُمْ آمِنُوا كَمَا آمَنَ النَّاسُ قَالُوا أَنُؤْمِنُ كَمَا آمَنَ السُّفَهَاءُ,1
24,20,2,ألا إنهم هم السفهاء ولٰكن لا يعلمون,أَلَا إِنَّهُمْ هُمُ السُّفَهَاءُ وَلَٰكِن لَّا يَعْلَمُونَ,
25,21,1,وإذا لقوا الذين آمنوا قالوا آمنا وإذا خلوا إلىٰ شياطينهم قالوا إنا معكم إنما نحن مستهزئون,وَإِذَا لَقُوا الَّذِينَ آمَنُوا قَالُوا آمَنَّا وَإِذَا خَلَوْا إِلَىٰ شَيَاطِينِهِمْ قَالُوا إِنَّا مَعَكُمْ إِنَّمَا نَحْنُ مُسْتَهْزِئُونَ,1
26,22,1,الله يستهزئ بهم ويمدهم في طغيانهم يعمهون,اللَّهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِي طُغْيَانِهِمْ يَعْمَهُونَ,
27,23,1,أولٰئك الذين اشتروا الضلالة بالهدىٰ فما ربحت تجارتهم وما كانوا مهتدين,أُولَٰئِكَ الَّذِينَ اشْتَرَوُا الضَّلَالَةَ بِالْهُدَىٰ فَمَا رَبِحَت تِّجَارَتُهُمْ وَمَا كَانُوا مُهْتَدِينَ,
28,24,1,مثلهم كمثل الذي استوقد نارا فلما أضاءت ما حوله ذهب الله بنورهم وتركهم في ظلمات لا يبصرون,مَثَلُهُمْ كَمَثَلِ الَّذِي اسْتَوْقَدَ نَارًا فَلَمَّا أَضَاءَتْ مَا حَوْلَهُ ذَهَبَ اللَّهُ بِنُورِهِمْ وَتَرَكَهُمْ فِي ظُلُمَاتٍ لَّا يُبْصِرُونَ,
29,25,1,صم بكم عمي فهم لا يرجعون,صُمٌّ بُكْمٌ عُمْيٌ فَهُمْ لَا يَرْجِعُونَ,
30,26,1,أو كصيب من السماء فيه ظلمات ورعد وبرق يجعلون أصابعهم في آذانهم من الصواعق حذر الموت,أَوْ كَصَيِّبٍ مِّنَ السَّمَاءِ فِيهِ ظُلُمَاتٌ وَرَعْدٌ وَبَرْقٌ يَجْعَلُونَ أَصَابِعَهُمْ فِي آذَانِهِم مِّنَ الصَّوَاعِقِ حَذَرَ الْمَوْتِ,
31,26,2,والله محيط بالكافرين,وَاللَّهُ مُحِيطٌ بِالْكَافِرِينَ,
32,27,1,يكاد البرق يخطف أبصارهم,يَكَادُ الْبَرْقُ يَخْطَفُ أَبْصَارَهُمْ,1
33,27,2,كلما أضاء لهم مشوا فيه وإذا أظلم عليهم قاموا,كُلَّمَا أَضَاءَ لَهُم مَّشَوْا فِيهِ وَإِذَا أَظْلَمَ عَلَيْهِمْ قَامُوا,
34,27,3,ولو شاء الله لذهب بسمعهم وأبصارهم,وَلَوْ شَاءَ اللَّهُ لَذَهَبَ بِسَمْعِهِمْ وَأَبْصَارِهِمْ,1
35,27,4,إن الله علىٰ كل شيء قدير,إِنَّ اللَّهَ عَلَىٰ كُلِّ شَيْءٍ قَدِيرٌ,
36,28,1,يا أيها الناس اعبدوا ربكم الذي خلقكم والذين من قبلكم لعلكم تتقون,يَا أَيُّهَا النَّاسُ اعْبُدُوا رَبَّكُمُ الَّذِي خَلَقَكُمْ وَالَّذِينَ مِن قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَ,
37,29,1,الذي جعل لكم الأرض فراشا والسماء بناء وأنزل من السماء ماء فأخرج به من الثمرات رزقا لكم,الَّذِي جَعَلَ لَكُمُ الْأَرْضَ فِرَاشًا وَالسَّمَاءَ بِنَاءً وَأَنزَلَ مِنَ السَّمَاءِ مَاءً فَأَخْرَجَ بِهِ مِنَ الثَّمَرَاتِ رِزْقًا لَّكُمْ,
38,29,2,فلا تجعلوا لله أندادا وأنتم تعلمون,فَلَا تَجْعَلُوا لِلَّهِ أَندَادًا وَأَنتُمْ تَعْلَمُونَ,
39,30,1,وإن كنتم في ريب مما نزلنا علىٰ عبدنا فأتوا بسورة من مثله وادعوا شهداءكم من دون الله إن كنتم صادقين,وَإِن كُنتُمْ فِي رَيْبٍ مِّمَّا نَزَّلْنَا عَلَىٰ عَبْدِنَا فَأْتُوا بِسُورَةٍ مِّن مِّثْلِهِ وَادْعُوا شُهَدَاءَكُم مِّن دُونِ اللَّهِ إِن كُنتُمْ صَادِقِينَ,
40,31,1,فإن لم تفعلوا ولن تفعلوا فاتقوا النار التي وقودها الناس والحجارة,فَإِن لَّمْ تَفْعَلُوا وَلَن تَفْعَلُوا فَاتَّقُوا النَّارَ الَّتِي وَقُودُهَا النَّاسُ وَالْحِجَارَةُ,
41,31,2,أعدت للكافرين,أُعِدَّتْ لِلْكَافِرِينَ,
42,32,1,وبشر الذين آمنوا وعملوا الصالحات أن لهم جنات تجري من تحتها الأنهار,وَبَشِّرِ الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ أَنَّ لَهُمْ جَنَّاتٍ تَجْرِي مِن تَحْتِهَا الْأَنْهَارُ,1
43,32,2,كلما رزقوا منها من ثمرة رزقا ۙ قالوا هٰذا الذي رزقنا من قبل,كُلَّمَا رُزِقُوا مِنْهَا مِن ثَمَرَةٍ رِّزْقًا ۙ قَالُوا هَٰذَا الَّذِي رُزِقْنَا مِن قَبْلُ,
44,32,3,وأتوا به متشابها,وَأُتُوا بِهِ مُتَشَابِهًا,
45,32,4,ولهم فيها أزواج مطهرة,وَلَهُمْ فِيهَا أَزْوَاجٌ مُّطَهَّرَةٌ,
46,32,5,وهم فيها خالدون,وَهُمْ فِيهَا خَالِدُونَ,
47,33,1,إن الله لا يستحيي أن يضرب مثلا ما بعوضة فما فوقها,إِنَّ اللَّهَ لَا يَسْتَحْيِي أَن يَضْرِبَ مَثَلًا مَّا بَعُوضَةً فَمَا فَوْقَهَا,
48,33,2,فأما الذين آمنوا فيعلمون أنه الحق من ربهم,فَأَمَّا الَّذِينَ آمَنُوا فَيَعْلَمُونَ أَنَّهُ الْحَقُّ مِن رَّبِّهِمْ,
49,33,3,وأما الذين كفروا فيقولون ماذا أراد الله بهٰذا مثلا,وَأَمَّا الَّذِينَ كَفَرُوا فَيَقُولُونَ مَاذَا أَرَادَ اللَّهُ بِهَٰذَا مَثَلًا,
50,33,4,يضل به كثيرا ويهدي به كثيرا,يُضِلُّ بِهِ كَثِيرًا وَيَهْدِي بِهِ كَثِيرًا,
51,33,5,وما يضل به إلا الفاسقين,وَمَا يُضِلُّ بِهِ إِلَّا الْفَاسِقِينَ,
52,34,1,الذين ينقضون عهد الله من بعد ميثاقه ويقطعون ما أمر الله به أن يوصل ويفسدون في الأرض,الَّذِينَ يَنقُضُونَ عَهْدَ اللَّهِ مِن بَعْدِ مِيثَاقِهِ وَيَقْطَعُونَ مَا أَمَرَ اللَّهُ بِهِ أَن يُوصَلَ وَيُفْسِدُونَ فِي الْأَرْضِ,1
53,34,2,أولٰئك هم الخاسرون,أُولَٰئِكَ هُمُ الْخَاسِرُونَ,
54,35,1,كيف تكفرون بالله وكنتم أمواتا فأحياكم,كَيْفَ تَكْفُرُونَ بِاللَّهِ وَكُنتُمْ أَمْوَاتًا فَأَحْيَاكُمْ,1
55,35,2,ثم يميتكم ثم يحييكم ثم إليه ترجعون,ثُمَّ يُمِيتُكُمْ ثُمَّ يُحْيِيكُمْ ثُمَّ إِلَيْهِ تُرْجَعُونَ,
56,36,1,هو الذي خلق لكم ما في الأرض جميعا ثم استوىٰ إلى السماء فسواهن سبع سماوات,هُوَ الَّذِي خَلَقَ لَكُم مَّا فِي الْأَرْضِ جَمِيعًا ثُمَّ اسْتَوَىٰ إِلَى السَّمَاءِ فَسَوَّاهُنَّ سَبْعَ سَمَاوَاتٍ,
57,36,2,وهو بكل شيء عليم,وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ,
58,37,1,وإذ قال ربك للملائكة إني جاعل في الأرض خليفة,وَإِذْ قَالَ رَبُّكَ لِلْمَلَائِكَةِ إِنِّي جَاعِلٌ فِي الْأَرْضِ خَلِيفَةً,
59,37,2,قالوا أتجعل فيها من يفسد فيها ويسفك الدماء ونحن نسبح بحمدك ونقدس لك,قَالُوا أَتَجْعَلُ فِيهَا مَن يُفْسِدُ فِيهَا وَيَسْفِكُ الدِّمَاءَ وَنَحْنُ نُسَبِّحُ بِحَمْدِكَ وَنُقَدِّسُ لَكَ,
60,37,3,قال إني أعلم ما لا تعلمون,قَالَ إِنِّي أَعْلَمُ مَا لَا تَعْلَمُونَ,
61,38,1,وعلم آدم الأسماء كلها ثم عرضهم على الملائكة فقال أنبئوني بأسماء هٰؤلاء إن كنتم صادقين,وَعَلَّمَ آدَمَ الْأَسْمَاءَ كُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى الْمَلَائِكَةِ فَقَالَ أَنبِئُونِي بِأَسْمَاءِ هَٰؤُلَاءِ إِن كُنتُمْ صَادِقِينَ,
62,39,1,قالوا سبحانك لا علم لنا إلا ما علمتنا,قَالُوا سُبْحَانَكَ لَا عِلْمَ لَنَا إِلَّا مَا عَلَّمْتَنَا,
63,39,2,إنك أنت العليم الحكيم,إِنَّكَ أَنتَ الْعَلِيمُ الْحَكِيمُ,
64,40,1,قال يا آدم أنبئهم بأسمائهم,قَالَ يَا آدَمُ أَنبِئْهُم بِأَسْمَائِهِمْ,1
65,40,2,فلما أنبأهم بأسمائهم قال ألم أقل لكم إني أعلم غيب السماوات والأرض وأعلم ما تبدون وما كنتم تكتمون,فَلَمَّا أَنبَأَهُم بِأَسْمَائِهِمْ قَالَ أَلَمْ أَقُل لَّكُمْ إِنِّي أَعْلَمُ غَيْبَ السَّمَاوَاتِ وَالْأَرْضِ وَأَعْلَمُ مَا تُبْدُونَ وَمَا كُنتُمْ تَكْتُمُونَ,
66,41,1,وإذ قلنا للملائكة اسجدوا لآدم فسجدوا إلا إبليس أبىٰ واستكبر وكان من الكافرين,وَإِذْ قُلْنَا لِلْمَلَائِكَةِ اسْجُدُوا لِآدَمَ فَسَجَدُوا إِلَّا إِبْلِيسَ أَبَىٰ وَاسْتَكْبَرَ وَكَانَ مِنَ الْكَافِرِينَ,
67,42,1,وقلنا يا آدم اسكن أنت وزوجك الجنة وكلا منها رغدا حيث شئتما ولا تقربا هٰذه الشجرة فتكونا من الظالمين,وَقُلْنَا يَا آدَمُ اسْكُنْ أَنتَ وَزَوْجُكَ الْجَنَّةَ وَكُلَا مِنْهَا رَغَدًا حَيْثُ شِئْتُمَا وَلَا تَقْرَبَا هَٰذِهِ الشَّجَرَةَ فَتَكُونَا مِنَ الظَّالِمِينَ,
68,43,1,فأزلهما الشيطان عنها فأخرجهما مما كانا فيه,فَأَزَلَّهُمَا الشَّيْطَانُ عَنْهَا فَأَخْرَجَهُمَا مِمَّا كَانَا فِيهِ,
69,43,2,وقلنا اهبطوا بعضكم لبعض عدو,وَقُلْنَا اهْبِطُوا بَعْضُكُمْ لِبَعْضٍ عَدُوٌّ,
70,43,3,ولكم في الأرض مستقر ومتاع إلىٰ حين,وَلَكُمْ فِي الْأَرْضِ مُسْتَقَرٌّ وَمَتَاعٌ إِلَىٰ حِينٍ,
71,44,1,فتلقىٰ آدم من ربه كلمات فتاب عليه,فَتَلَقَّىٰ آدَمُ مِن رَّبِّهِ كَلِمَاتٍ فَتَابَ عَلَيْهِ,
72,44,2,إنه هو التواب الرحيم,إِنَّهُ هُوَ التَّوَّابُ الرَّحِيمُ,
73,45,1,قلنا اهبطوا منها جميعا,قُلْنَا اهْبِطُوا مِنْهَا جَمِيعًا,
74,45,2,فإما يأتينكم مني هدى فمن تبع هداي فلا خوف عليهم ولا هم يحزنون,فَإِمَّا يَأْتِيَنَّكُم مِّنِّي هُدًى فَمَن تَبِعَ هُدَايَ فَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَ,
75,46,1,والذين كفروا وكذبوا بآياتنا أولٰئك أصحاب النار,وَالَّذِينَ كَفَرُوا وَكَذَّبُوا بِآيَاتِنَا أُولَٰئِكَ أَصْحَابُ النَّارِ,
76,46,2,هم فيها خالدون,هُمْ فِيهَا خَالِدُونَ,
77,47,1,يا بني إسرائيل اذكروا نعمتي التي أنعمت عليكم وأوفوا بعهدي أوف بعهدكم وإياي فارهبون,يَا بَنِي إِسْرَائِيلَ اذْكُرُوا نِعْمَتِيَ الَّتِي أَنْعَمْتُ عَلَيْكُمْ وَأَوْفُوا بِعَهْدِي أُوفِ بِعَهْدِكُمْ وَإِيَّايَ فَارْهَبُونِ,
78,48,1,وآمنوا بما أنزلت مصدقا لما معكم ولا تكونوا أول كافر به,وَآمِنُوا بِمَا أَنزَلْتُ مُصَدِّقًا لِّمَا مَعَكُمْ وَلَا تَكُونُوا أَوَّلَ كَافِرٍ بِهِ,
79,48,2,ولا تشتروا بآياتي ثمنا قليلا وإياي فاتقون,وَلَا تَشْتَرُوا بِآيَاتِي ثَمَنًا قَلِيلًا وَإِيَّايَ فَاتَّقُونِ,
80,49,1,ولا تلبسوا الحق بالباطل وتكتموا الحق وأنتم تعلمون,وَلَا تَلْبِسُوا الْحَقَّ بِالْبَاطِلِ وَتَكْتُمُوا الْحَقَّ وَأَنتُمْ تَعْلَمُونَ,
81,50,1,وأقيموا الصلاة وآتوا الزكاة واركعوا مع الراكعين,وَأَقِيمُوا الصَّلَاةَ وَآتُوا الزَّكَاةَ وَارْكَعُوا مَعَ الرَّاكِعِينَ,
82,51,1,أتأمرون الناس بالبر وتنسون أنفسكم وأنتم تتلون الكتاب,أَتَأْمُرُونَ النَّاسَ بِالْبِرِّ وَتَنسَوْنَ أَنفُسَكُمْ وَأَنتُمْ تَتْلُونَ الْكِتَابَ,
83,51,2,أفلا تعقلون,أَفَلَا تَعْقِلُونَ,
84,52,1,واستعينوا بالصبر والصلاة,وَاسْتَعِينُوا بِالصَّبْرِ وَالصَّلَاةِ,
85,52,2,وإنها لكبيرة إلا على الخاشعين,وَإِنَّهَا لَكَبِيرَةٌ إِلَّا عَلَى الْخَاشِعِينَ,
86,53,1,الذين يظنون أنهم ملاقو ربهم وأنهم إليه راجعون,الَّذِينَ يَظُنُّونَ أَنَّهُم مُّلَاقُو رَبِّهِمْ وَأَنَّهُمْ إِلَيْهِ رَاجِعُونَ,
87,54,1,يا بني إسرائيل اذكروا نعمتي التي أنعمت عليكم وأني فضلتكم على العالمين,يَا بَنِي إِسْرَائِيلَ اذْكُرُوا نِعْمَتِيَ الَّتِي أَنْعَمْتُ عَلَيْكُمْ وَأَنِّي فَضَّلْتُكُمْ عَلَى الْعَالَمِينَ,
88,55,1,واتقوا يوما لا تجزي نفس عن نفس شيئا ولا يقبل منها شفاعة ولا يؤخذ منها عدل ولا هم ينصرون,وَاتَّقُوا يَوْمًا لَّا تَجْزِي نَفْسٌ عَن نَّفْسٍ شَيْئًا وَلَا يُقْبَلُ مِنْهَا شَفَاعَةٌ وَلَا يُؤْخَذُ مِنْهَا عَدْلٌ وَلَا هُمْ يُنصَرُونَ,
89,56,1,وإذ نجيناكم من آل فرعون يسومونكم سوء العذاب يذبحون أبناءكم ويستحيون نساءكم,وَإِذْ نَجَّيْنَاكُم مِّنْ آلِ فِرْعَوْنَ يَسُومُونَكُمْ سُوءَ الْعَذَابِ يُذَبِّحُونَ أَبْنَاءَكُمْ وَيَسْتَحْيُونَ نِسَاءَكُمْ,1
90,56,2,وفي ذٰلكم بلاء من ربكم عظيم,وَفِي ذَٰلِكُم بَلَاءٌ مِّن رَّبِّكُمْ عَظِيمٌ,
91,57,1,وإذ فرقنا بكم البحر فأنجيناكم وأغرقنا آل فرعون وأنتم تنظرون,وَإِذْ فَرَقْنَا بِكُمُ الْبَحْرَ فَأَنجَيْنَاكُمْ وَأَغْرَقْنَا آلَ فِرْعَوْنَ وَأَنتُمْ تَنظُرُونَ,
92,58,1,وإذ واعدنا موسىٰ أربعين ليلة ثم اتخذتم العجل من بعده وأنتم ظالمون,وَإِذْ وَاعَدْنَا مُوسَىٰ أَرْبَعِينَ لَيْلَةً ثُمَّ اتَّخَذْتُمُ الْعِجْلَ مِن بَعْدِهِ وَأَنتُمْ ظَالِمُونَ,
93,59,1,ثم عفونا عنكم من بعد ذٰلك لعلكم تشكرون,ثُمَّ عَفَوْنَا عَنكُم مِّن بَعْدِ ذَٰلِكَ لَعَلَّكُمْ تَشْكُرُونَ,
94,60,1,وإذ آتينا موسى الكتاب والفرقان لعلكم تهتدون,وَإِذْ آتَيْنَا مُوسَى الْكِتَابَ وَالْفُرْقَانَ لَعَلَّكُمْ تَهْتَدُونَ,
95,61,1,وإذ قال موسىٰ لقومه يا قوم إنكم ظلمتم أنفسكم باتخاذكم العجل فتوبوا إلىٰ بارئكم فاقتلوا أنفسكم ذٰلكم خير لكم عند بارئكم فتاب عليكم,وَإِذْ قَالَ مُوسَىٰ لِقَوْمِهِ يَا قَوْمِ إِنَّكُمْ ظَلَمْتُمْ أَنفُسَكُم بِاتِّخَاذِكُمُ الْعِجْلَ فَتُوبُوا إِلَىٰ بَارِئِكُمْ فَاقْتُلُوا أَنفُسَكُمْ ذَٰلِكُمْ خَيْرٌ لَّكُمْ عِندَ بَارِئِكُمْ فَتَابَ عَلَيْكُمْ,
96,61,2,إنه هو التواب الرحيم,إِنَّهُ هُوَ التَّوَّابُ الرَّحِيمُ,
97,62,1,وإذ قلتم يا موسىٰ لن نؤمن لك حتىٰ نرى الله جهرة فأخذتكم الصاعقة وأنتم تنظرون,وَإِذْ قُلْتُمْ يَا مُوسَىٰ لَن نُّؤْمِنَ لَكَ حَتَّىٰ نَرَى اللَّهَ جَهْرَةً فَأَخَذَتْكُمُ الصَّاعِقَةُ وَأَنتُمْ تَنظُرُونَ,
98,63,1,ثم بعثناكم من بعد موتكم لعلكم تشكرون,ثُمَّ بَعَثْنَاكُم مِّن بَعْدِ مَوْتِكُمْ لَعَلَّكُمْ تَشْكُرُونَ,
99,64,1,وظللنا عليكم الغمام وأنزلنا عليكم المن والسلوىٰ,وَظَلَّلْنَا عَلَيْكُمُ الْغَمَامَ وَأَنزَلْنَا عَلَيْكُمُ الْمَنَّ وَالسَّلْوَىٰ,
100,64,2,كلوا من طيبات ما رزقناكم,كُلُوا مِن طَيِّبَاتِ مَا رَزَقْنَاكُمْ,
101,64,3,وما ظلمونا ولٰكن كانوا أنفسهم يظلمون,وَمَا ظَلَمُونَا وَلَٰكِن كَانُوا أَنفُسَهُمْ يَظْلِمُونَ,
102,65,1,وإذ قلنا ادخلوا هٰذه القرية فكلوا منها حيث شئتم رغدا وادخلوا الباب سجدا وقولوا حطة نغفر لكم خطاياكم,وَإِذْ قُلْنَا ادْخُلُوا هَٰذِهِ الْقَرْيَةَ فَكُلُوا مِنْهَا حَيْثُ شِئْتُمْ رَغَدًا وَادْخُلُوا الْبَابَ سُجَّدًا وَقُولُوا حِطَّةٌ نَّغْفِرْ لَكُمْ خَطَايَاكُمْ,
103,65,2,وسنزيد المحسنين,وَسَنَزِيدُ الْمُحْسِنِينَ,
104,66,1,فبدل الذين ظلموا قولا غير الذي قيل لهم فأنزلنا على الذين ظلموا رجزا من السماء بما كانوا يفسقون,فَبَدَّلَ الَّذِينَ ظَلَمُوا قَوْلًا غَيْرَ الَّذِي قِيلَ لَهُمْ فَأَنزَلْنَا عَلَى الَّذِينَ ظَلَمُوا رِجْزًا مِّنَ السَّمَاءِ بِمَا كَانُوا يَفْسُقُونَ,
105,67,1,وإذ استسقىٰ موسىٰ لقومه فقلنا اضرب بعصاك الحجر,وَإِذِ اسْتَسْقَىٰ مُوسَىٰ لِقَوْمِهِ فَقُلْنَا اضْرِب بِّعَصَاكَ الْحَجَرَ,
106,67,2,فانفجرت منه اثنتا عشرة عينا,فَانفَجَرَتْ مِنْهُ اثْنَتَا عَشْرَةَ عَيْنًا,
107,67,3,قد علم كل أناس مشربهم,قَدْ عَلِمَ كُلُّ أُنَاسٍ مَّشْرَبَهُمْ,
108,67,4,كلوا واشربوا من رزق الله ولا تعثوا في الأرض مفسدين,كُلُوا وَاشْرَبُوا مِن رِّزْقِ اللَّهِ وَلَا تَعْثَوْا فِي الْأَرْضِ مُفْسِدِينَ,
109,68,1,وإذ قلتم يا موسىٰ لن نصبر علىٰ طعام واحد فادع لنا ربك يخرج لنا مما تنبت الأرض من بقلها وقثائها وفومها وعدسها وبصلها,وَإِذْ قُلْتُمْ يَا مُوسَىٰ لَن نَّصْبِرَ عَلَىٰ طَعَامٍ وَاحِدٍ فَادْعُ لَنَا رَبَّكَ يُخْرِجْ لَنَا مِمَّا تُنبِتُ الْأَرْضُ مِن بَقْلِهَا وَقِثَّائِهَا وَفُومِهَا وَعَدَسِهَا وَبَصَلِهَا,
110,68,2,قال أتستبدلون الذي هو أدنىٰ بالذي هو خير,قَالَ أَتَسْتَبْدِلُونَ الَّذِي هُوَ أَدْنَىٰ بِالَّذِي هُوَ خَيْرٌ,
111,68,3,اهبطوا مصرا فإن لكم ما سألتم,اهْبِطُوا مِصْرًا فَإِنَّ لَكُم مَّا سَأَلْتُمْ,1
112,68,4,وضربت عليهم الذلة والمسكنة وباءوا بغضب من الله,وَضُرِبَتْ عَلَيْهِمُ الذِّلَّةُ وَالْمَسْكَنَةُ وَبَاءُوا بِغَضَبٍ مِّنَ اللَّهِ,
113,68,5,ذٰلك بأنهم كانوا يكفرون بآيات الله ويقتلون النبيين بغير الحق,ذَٰلِكَ بِأَنَّهُمْ كَانُوا يَكْفُرُونَ بِآيَاتِ اللَّهِ وَيَقْتُلُونَ النَّبِيِّينَ بِغَيْرِ الْحَقِّ,
114,68,6,ذٰلك بما عصوا وكانوا يعتدون,ذَٰلِكَ بِمَا عَصَوا وَّكَانُوا يَعْتَدُونَ,
115,69,1,إن الذين آمنوا والذين هادوا والنصارىٰ والصابئين من آمن بالله واليوم الآخر وعمل صالحا فلهم أجرهم عند ربهم ولا خوف عليهم ولا هم يحزنون,إِنَّ الَّذِينَ آمَنُوا وَالَّذِينَ هَادُوا وَالنَّصَارَىٰ وَالصَّابِئِينَ مَنْ آمَنَ بِاللَّهِ وَالْيَوْمِ الْآخِرِ وَعَمِلَ صَالِحًا فَلَهُمْ أَجْرُهُمْ عِندَ رَبِّهِمْ وَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَ,
116,70,1,وإذ أخذنا ميثاقكم ورفعنا فوقكم الطور خذوا ما آتيناكم بقوة واذكروا ما فيه لعلكم تتقون,وَإِذْ أَخَذْنَا مِيثَاقَكُمْ وَرَفَعْنَا فَوْقَكُمُ الطُّورَ خُذُوا مَا آتَيْنَاكُم بِقُوَّةٍ وَاذْكُرُوا مَا فِيهِ لَعَلَّكُمْ تَتَّقُونَ,
117,71,1,ثم توليتم من بعد ذٰلك,ثُمَّ تَوَلَّيْتُم مِّن بَعْدِ ذَٰلِكَ,
118,71,2,فلولا فضل الله عليكم ورحمته لكنتم من الخاسرين,فَلَوْلَا فَضْلُ اللَّهِ عَلَيْكُمْ وَرَحْمَتُهُ لَكُنتُم مِّنَ الْخَاسِرِينَ,
119,72,1,ولقد علمتم الذين اعتدوا منكم في السبت فقلنا لهم كونوا قردة خاسئين,وَلَقَدْ عَلِمْتُمُ الَّذِينَ اعْتَدَوْا مِنكُمْ فِي السَّبْتِ فَقُلْنَا لَهُمْ كُونُوا قِرَدَةً خَاسِئِينَ,1
120,73,1,فجعلناها نكالا لما بين يديها وما خلفها وموعظة للمتقين,فَجَعَلْنَاهَا نَكَالًا لِّمَا بَيْنَ يَدَيْهَا وَمَا خَلْفَهَا وَمَوْعِظَةً لِّلْمُتَّقِينَ,
